id,Churn,genero,idoso,possui_parceiro,possui_dependentes,tempo_contrato,servico_telefone,multiplas_linhas,tipo_internet,seguranca_online,backup_online,protecao_dispositivo,suporte_tecnico,streaming_tv,streaming_filmes,tipo_contrato,fatura_digital,metodo_pagamento,valor_mensal,total_cobrado,contas_diarias
0002-ORFBO,não,Feminino,0,Sim,Sim,9,Sim,Não,DSL,Não,Sim,Não,Sim,Sim,Não,Anual,Sim,Cheque enviado,65.6,593.3,2.1866666666666665
0003-MKNFE,não,Masculino,0,Não,Não,9,Sim,Sim,DSL,Não,Não,Não,Não,Não,Sim,Mensal,Não,Cheque enviado,59.9,542.4,1.9966666666666666
0004-TLHLJ,sim,Masculino,0,Não,Não,4,Sim,Não,Fibra óptica,Não,Não,Sim,Não,Não,Não,Mensal,Sim,Cheque eletrônico,73.9,280.85,2.4633333333333334
0011-IGKFF,sim,Masculino,1,Sim,Não,13,Sim,Não,Fibra óptica,Não,Sim,Sim,Não,Sim,Sim,Mensal,Sim,Cheque eletrônico,98.0,1237.85,3.2666666666666666
0013-EXCHZ,sim,Feminino,1,Sim,Não,3,Sim,Não,Fibra óptica,Não,Não,Não,Sim,Sim,Não,Mensal,Sim,Cheque enviado,83.9,267.4,2.796666666666667
0013-MHZWF,não,Feminino,0,Não,Sim,9,Sim,Não,DSL,Não,Não,Não,Sim,Sim,Sim,Mensal,Sim,Cartão de crédito (automático),69.4,571.45,2.3133333333333335
0013-SMEOE,não,Feminino,1,Sim,Não,71,Sim,Não,Fibra óptica,Sim,Sim,Sim,Sim,Sim,Sim,Bienal,Sim,Transferência bancária (automática),109.7,7904.25,3.6566666666666667
0014-BMAQU,não,Masculino,0,Sim,Não,63,Sim,Sim,Fibra óptica,Sim,Não,Não,Sim,Não,Não,Bienal,Sim,Cartão de crédito (automático),84.65,5377.8,2.8216666666666668
0015-UOCOJ,não,Feminino,1,Não,Não,7,Sim,Não,DSL,Sim,Não,Não,Não,Não,Não,Mensal,Sim,Cheque eletrônico,48.2,340.35,1.6066666666666667
0016-QLJIS,não,Feminino,0,Sim,Sim,65,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Sim,Sim,Bienal,Sim,Cheque enviado,90.45,5957.9,3.015
0017-DINOC,não,Masculino,0,Não,Não,54,Não,Sem serviço de telefone,DSL,Sim,Não,Não,Sim,Sim,Não,Bienal,Não,Cartão de crédito (automático),45.2,2460.55,1.5066666666666668
0017-IUDMW,não,Feminino,0,Sim,Sim,72,Sim,Sim,Fibra óptica,Sim,Sim,Sim,Sim,Sim,Sim,Bienal,Sim,Cartão de crédito (automático),116.8,8456.75,3.893333333333333
0018-NYROU,não,Feminino,0,Sim,Não,5,Sim,Não,Fibra óptica,Não,Não,Não,Não,Não,Não,Mensal,Sim,Cheque eletrônico,68.95,351.5,2.2983333333333333
